Product_Name,Capacity,Category,Star_Ratings,Price,Discount,Rating
LG,272 L,Double Door,3 Star,37650.0,29.0,4.3
Whirlpool,235 L,Double Door,3 Star,37517.0,30.0,4.2
Godrej,272 L,Double Door,3 Star,37490.0,26.0,4.1
LG,264 L,Double Door,2 Star,37490.0,21.0,4.2
CANDY,328 L,Double Door,3 Star,37490.0,28.0,4.4
Godrej,472 L,Double Door,2 Star,37290.0,29.0,4.3
Godrej,436 L,Double Door,2 Star,37000.0,25.0,4.1
Haier,268 L,Double Door,2 Star,36990.0,31.0,4.1
LG,398 L,Double Door,3 Star,36990.0,37.0,4.3
Voltas,563 L,Side by Side,3 Star,36890.0,32.0,4.4
LG,240 L,Double Door,3 Star,36590.0,28.0,4.3
Haier,325 L,Double Door,3 Star,36390.0,24.0,4.4
Whirlpool,300 L,Triple Door,4 Star,36240.0,42.0,4.3
Whirlpool,300 L,Triple Door,4 Star,35999.0,26.0,4.3
Whirlpool,270 L,Triple Door,4 Star,35999.0,25.0,4.3
LG,343 L,Double Door,3 Star,35990.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,35990.0,23.0,4.3
Haier,596 L,Side by Side,3 Star,35790.0,42.0,4.5
Whirlpool,236 L,Single Door,5 Star,35590.0,24.0,4.3
LG,242 L,Double Door,3 Star,35490.0,29.0,4.4
Haier,602 L,Side by Side,3 Star,35390.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,35337.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,35190.0,25.0,4.1
Voltas,472 L,Side by Side,3 Star,35000.0,40.0,4.3
Whirlpool,235 L,Double Door,2 Star,34999.0,29.0,4.3
LG,272 L,Double Door,3 Star,34990.0,30.0,4.2
Whirlpool,235 L,Double Door,3 Star,34990.0,26.0,4.1
Godrej,272 L,Double Door,3 Star,34990.0,21.0,4.2
CANDY,328 L,Double Door,3 Star,34990.0,28.0,4.3
LG,264 L,Double Door,2 Star,34900.0,29.0,4.4
Godrej,472 L,Double Door,2 Star,34999.0,25.0,4.1
Haier,325 L,Double Door,3 Star,34590.0,31.0,4.3
Godrej,436 L,Double Door,2 Star,34489.0,37.0,4.1
Haier,268 L,Double Door,2 Star,34062.0,32.0,4.3
LG,240 L,Double Door,3 Star,39910.0,28.0,4.4
LG,398 L,Double Door,3 Star,38999.0,24.0,4.4
Voltas,563 L,Side by Side,3 Star,34489.0,42.0,4.3
Whirlpool,300 L,Triple Door,4 Star,34062.0,26.0,4.3
Whirlpool,270 L,Triple Door,4 Star,33999.0,25.0,4.3
LG,343 L,Double Door,3 Star,33990.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,33990.0,23.0,4.3
Haier,596 L,Side by Side,3 Star,33990.0,29.0,4.4
Whirlpool,236 L,Single Door,5 Star,33819.0,42.0,4.5
LG,242 L,Double Door,3 Star,33590.0,24.0,4.3
Haier,602 L,Side by Side,3 Star,33500.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,33490.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,33397.0,25.0,4.1
Voltas,472 L,Side by Side,3 Star,33290.0,40.0,4.3
Whirlpool,235 L,Double Door,2 Star,33290.0,29.0,4.3
LG,272 L,Double Door,3 Star,33257.0,30.0,4.2
Whirlpool,235 L,Double Door,3 Star,32990.0,26.0,4.1
Godrej,272 L,Double Door,3 Star,32990.0,21.0,4.2
CANDY,328 L,Double Door,3 Star,32990.0,29.0,4.4
LG,264 L,Double Door,2 Star,32990.0,28.0,4.3
Godrej,472 L,Double Door,2 Star,32990.0,25.0,4.1
Haier,325 L,Double Door,3 Star,32990.0,37.0,4.1
Godrej,436 L,Double Door,2 Star,32990.0,32.0,4.3
Haier,268 L,Double Door,2 Star,32818.0,24.0,4.4
LG,240 L,Double Door,3 Star,32710.0,42.0,4.3
LG,398 L,Double Door,3 Star,32590.0,28.0,4.4
Voltas,563 L,Side by Side,3 Star,32190.0,31.0,4.3
Whirlpool,300 L,Triple Door,4 Star,32100.0,26.0,4.3
Whirlpool,270 L,Triple Door,4 Star,32050.0,25.0,4.3
LG,343 L,Double Door,3 Star,31999.0,23.0,4.5
Whirlpool,235 L,Triple Door,4 Star,31990.0,29.0,4.3
LG,242 L,Double Door,3 Star,31990.0,29.0,4.5
Haier,596 L,Side by Side,3 Star,31790.0,42.0,4.3
Whirlpool,236 L,Single Door,5 Star,31790.0,24.0,4.4
Haier,602 L,Side by Side,3 Star,31749.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,31733.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,31690.0,40.0,4.1
Voltas,472 L,Side by Side,3 Star,31690.0,30.0,4.3
Whirlpool,235 L,Double Door,2 Star,31600.0,26.0,4.3
LG,272 L,Double Door,3 Star,31490.0,25.0,4.2
Whirlpool,235 L,Double Door,3 Star,31090.0,21.0,4.1
Godrej,272 L,Double Door,3 Star,30999.0,29.0,4.2
LG,264 L,Double Door,2 Star,30999.0,28.0,4.3
CANDY,328 L,Double Door,3 Star,30999.0,29.0,4.4
Godrej,472 L,Double Door,2 Star,30999.0,42.0,4.1
Godrej,436 L,Double Door,2 Star,30990.0,24.0,4.3
Haier,268 L,Double Door,2 Star,30990.0,32.0,4.1
LG,398 L,Double Door,3 Star,30990.0,37.0,4.3
Voltas,563 L,Side by Side,3 Star,30990.0,28.0,4.4
LG,240 L,Double Door,3 Star,30790.0,31.0,4.4
Haier,325 L,Double Door,3 Star,30740.0,26.0,4.3
Whirlpool,300 L,Triple Door,4 Star,30590.0,25.0,4.3
Whirlpool,270 L,Triple Door,4 Star,30521.0,25.0,4.3
