Product_Name,Capacity,Category,Star_Ratings,Price,Discount,Rating,
LG,343 L,Double Door,3 Star,"₹ 45,999",23% off,4.3,
LG,242 L,Double Door,3 Star,"₹ 45,990",29% off,4.4,
Haier,596 L,Side by Side,N/A,"₹ 45,990",42% off,4.5,
Whirlpool,236 L,Single Door,5 Star,"₹ 45,990",24% off,4.3,
Haier,602 L,Side by Side,N/A,"₹ 45,990",43% off,4.5,
Whirlpool,240 L,Triple Door,N/A,"₹ 45,680",19% off,4.3,
Voltas,472 L,Side by Side,N/A,"₹ 45,590",25% off,4.1,
LG,272 L,Double Door,3 Star,"₹ 45,590",40% off,4.3,
Whirlpool,235 L,Double Door,3 Star,"₹ 45,490",25% off,4.3,
Whirlpool,308 L,Double Door,3 Star,"₹ 45,490",29% off,4.2,
Godrej,272 L,Double Door,3 Star,"₹ 45,490",30% off,4.1,
LG,264 L,Double Door,2 Star,"₹ 45,090",26% off,4.2,
CANDY,328 L,Double Door,3 Star,"₹ 44,990",21% off,4.4,
Whirlpool,235 L,Double Door,2 Star,"₹ 44,886",29% off,4.3,
Voltas,563 L,Side by Side,N/A,"₹ 43,999",28% off,4.1,
LG,398 L,Double Door,3 Star,"₹ 43,990",25% off,4.1,
Haier,268 L,Double Door,2 Star,"₹ 43,990",37% off,4.3,
Godrej,436 L,Double Door,2 Star,"₹ 43,990",32% off,4.4,
LG,240 L,Double Door,3 Star,"₹ 43,990",24% off,4.3,
Haier,325 L,Double Door,3 Star,"₹ 43,990",42% off,4.4,
Whirlpool,300 L,Triple Door,N/A,"₹ 43,890",28% off,4.3,
Godrej,472 L,Double Door,2 Star,"₹ 43,800",31% off,4.3,
Whirlpool,270 L,Triple Door,N/A,"₹ 43,600",25% off,4.3,
LG,343 L,Double Door,3 Star,"₹ 42,990",29% off,4.5,
Whirlpool,235 L,Triple Door,N/A,"₹ 42,490",23% off,4.3,
LG,242 L,Double Door,3 Star,"₹ 42,390",29% off,4.5,
Haier,596 L,Side by Side,N/A,"₹ 42,170",42% off,4.3,
Whirlpool,236 L,Single Door,5 Star,"₹ 41,990",24% off,4.4,
Haier,602 L,Side by Side,N/A,"₹ 41,870",43% off,4.5,
Whirlpool,240 L,Triple Door,N/A,"₹ 41,390",27% off,4.3,
Whirlpool,308 L,Double Door,3 Star,"₹ 41,199",25% off,4.1,
Voltas,472 L,Side by Side,N/A,"₹ 40,999",40% off,4.3,
Whirlpool,235 L,Double Door,2 Star,"₹ 40,888",29% off,4.3,
LG,272 L,Double Door,3 Star,"₹ 40,790",30% off,4.2,
Whirlpool,235 L,Double Door,3 Star,"₹ 40,590",26% off,4.1,
Godrej,272 L,Double Door,3 Star,"₹ 40,590",21% off,4.2,
LG,264 L,Double Door,2 Star,"₹ 40,590",29% off,4.3,
CANDY,328 L,Double Door,3 Star,"₹ 40,000",28% off,4.4,
Godrej,472 L,Double Door,2 Star,"₹ 39,990",25% off,4.1,
Godrej,436 L,Double Door,2 Star,"₹ 39,990",37% off,4.3,
Haier,268 L,Double Door,2 Star,"₹ 39,990",32% off,4.1,
LG,398 L,Double Door,3 Star,"₹ 39,989",24% off,4.3,
Voltas,563 L,Side by Side,N/A,"₹ 39,744",42% off,4.4,
LG,240 L,Double Door,3 Star,"₹ 39,559",28% off,4.4,
Haier,325 L,Double Door,3 Star,"₹ 39,290",31% off,4.3,
Whirlpool,300 L,Triple Door,N/A,"₹ 38,990",26% off,4.3,
Whirlpool,270 L,Triple Door,N/A,"₹ 38,990",25% off,4.3,
LG,343 L,Double Door,3 Star,"₹ 38,790",29% off,4.5,
Whirlpool,235 L,Triple Door,N/A,"₹ 38,490",23% off,4.3,
LG,242 L,Double Door,3 Star,"₹ 38,290",42% off,4.4,
Haier,596 L,Side by Side,N/A,"₹ 38,290",24% off,4.5,
Haier,602 L,Side by Side,N/A,"₹ 37,999",29% off,4.3,
Whirlpool,240 L,Triple Door,N/A,"₹ 39,105",43% off,4.5,
Whirlpool,308 L,Double Door,3 Star,"₹ 37,990",27% off,4.3,
Voltas,472 L,Side by Side,N/A,"₹ 37,990",25% off,4.1,
Whirlpool,235 L,Double Door,2 Star,"₹ 37,800",40% off,4.3,
LG,272 L,Double Door,3 Star,"₹ 37,650",29% off,4.3,
Whirlpool,235 L,Double Door,3 Star,"₹ 37,517",30% off,4.2,
Godrej,272 L,Double Door,3 Star,"₹ 37,490",26% off,4.1,
LG,264 L,Double Door,2 Star,"₹ 37,490",21% off,4.2,
CANDY,328 L,Double Door,3 Star,"₹ 37,490",28% off,4.4,
Godrej,472 L,Double Door,2 Star,"₹ 37,290",29% off,4.3,
Godrej,436 L,Double Door,2 Star,"₹ 37,000",25% off,4.1,
Haier,268 L,Double Door,2 Star,"₹ 36,990",31% off,4.1,
LG,398 L,Double Door,3 Star,"₹ 36,990",37% off,4.3,
Voltas,563 L,Side by Side,N/A,"₹ 36,890",32% off,4.4,
LG,240 L,Double Door,3 Star,"₹ 36,590",28% off,4.3,
Haier,325 L,Double Door,3 Star,"₹ 36,390",24% off,4.4,
Whirlpool,300 L,Triple Door,N/A,"₹ 36,240",42% off,4.3,
Whirlpool,300 L,Triple Door,N/A,"₹ 35,999",26% off,4.3,
Whirlpool,270 L,Triple Door,N/A,"₹ 35,999",25% off,4.3,
LG,343 L,Double Door,3 Star,"₹ 35,990",29% off,4.5,
Whirlpool,235 L,Triple Door,N/A,"₹ 35,990",23% off,4.3,
Haier,596 L,Side by Side,N/A,"₹ 35,790",42% off,4.5,
Whirlpool,236 L,Single Door,5 Star,"₹ 35,590",24% off,4.3,
